"排名","代號","名稱","市場","股價日期","成交","漲跌價","漲跌幅","面值(元)","股本(億)","發行量(萬張)","市值(億)","成立年數","上市年數","股票期貨","選擇權","權證","公司債","私募股","特別股","產業別","董事長","總經理"
"1",="2330","台積電","市","03/08","598","-3","-0.5","10","2,593","2,593","155,064","34","26.5","有","有","有","有","","","半導體業","劉德音","總裁: 魏哲家"
"2",="2317","鴻海","市","03/08","113.5","-1.5","-1.3","10","1,386","1,386","15,734","47","29.7","有","有","有","有","","","其他電子業","劉揚偉","劉揚偉"
"3",="2454","聯發科","市","03/08","867","-16","-1.81","10","159","159","13,787","23.8","19.6","有","有","有","","","","半導體業","蔡明介","陳冠州"
"4",="6505","台塑化","市","03/08","102.5","+3.5","+3.54","10","953","953","9,764","28.9","17.2","","","有","","","","油電燃氣業","陳郎","曹明"
"5",="2412","中華電","市","03/08","110","0","0","10","776","776","8,533","24.7","20.4","有","有","","","","","通信網路業","謝繼茂","郭水義"
"6",="2308","台達電","市","03/08","270.5","-4.5","-1.64","10","260","260","7,026","45.6","32.2","有","","有","有","","","電子零組件業","海英俊","張訓海"
"7",="1301","台塑","市","03/08","101.5","0","0","10","637","637","6,461","66.3","56.6","有","有","有","","","","塑膠工業","林健男","林健男"
"8",="1303","南亞","市","03/08","73.5","+0.6","+0.82","10","793","793","5,829","62.5","53.3","有","有","有","","","","塑膠工業","吳嘉昭","鄒明仁"
"9",="2303","聯電","市","03/08","46.1","-0.95","-2.02","10","1,242","1,242","5,727","40.8","35.6","有","有","有","有","","","半導體業","洪嘉聰","簡山傑、王石"
"10",="2882","國泰金","市","03/08","42.9","+0.35","+0.82","10","1,470","1,317","5,650","19.2","19.2","有","有","有","","","有","金控業","蔡宏圖","李長庚"
"11",="2881","富邦金","市","03/08","52.1","+1.3","+2.56","10","1,150","1,023","5,332","19.2","19.2","有","有","有","有","","有","金控業","蔡明興","韓蔚廷"
"12",="1326","台化","市","03/08","88","+0.6","+0.69","10","586","586","5,158","56","36.2","有","有","有","有","","","塑膠工業","王文淵","呂文進"
"13",="3008","大立光","市","03/08","3425","+65","+1.93","10","13.4","13.4","4,594","33.9","19","有","有","有","","","","光電業","林恩舟","林恩平"
"14",="3711","日月光投控","市","03/08","102.5","+0.5","+0.49","10","435","434","4,447","2.9","2.9","有","有","有","有","","","半導體業","張虔生","張洪本"
"15",="2886","兆豐金","市","03/08","29.9","+0.2","+0.67","10","1,360","1,360","4,066","19.1","19.1","有","有","有","有","","","金控業","張兆順","胡光華"
"16",="2891","中信金","市","03/08","20.6","+0.3","+1.48","10","2,000","1,950","4,016","18.8","18.8","有","有","有","有","","有","金控業","顏文隆","吳一揆"
"17",="2002","中鋼","市","03/08","25.1","+0.15","+0.6","10","1,577","1,573","3,949","49.3","46.2","有","有","有","有","","有","鋼鐵工業","翁朝棟","王錫欽"
"18",="1216","統一","市","03/08","68.8","+0.4","+0.58","10","568","568","3,909","53.5","33.2","有","有","有","有","","","食品工業","羅智先","黃釗凱、李清田"
"19",="3045","台灣大","市","03/08","97.6","-0.2","-0.2","10","351","351","3,425","24","20.5","有","","有","有","","","通信網路業","蔡明忠","林之晨"
"20",="2382","廣達","市","03/08","85","-0.5","-0.58","10","386","386","3,283","32.8","22.2","有","有","","","","","電腦及週邊設備業","林百里","梁次震"
"21",="2207","和泰車","市","03/08","587","-9","-1.51","10","54.6","54.6","3,206","65.9","24","","","","","","","汽車工業","黃南光","蘇純興"
"22",="2884","玉山金","市","03/08","25.15","+0.1","+0.4","10","1,257","1,257","3,161","19.1","19.1","有","有","有","有","","","金控業","黃永仁","陳美滿"
"23",="6488","環球晶","櫃","03/08","705","-11","-1.54","10","43.7","43.7","3,083","9.4","5.5","有","","有","","","","半導體業","徐秀蘭","Mark England"
"24",="3034","聯詠","市","03/08","481","+11.5","+2.45","10","60.9","60.9","2,927","23.8","19.9","有","","有","","","","半導體業","何泰舜","王守仁"
"25",="2912","統一超","市","03/08","273","+2.5","+0.92","10","104","104","2,838","33.7","23.5","","","","","","","貿易百貨業","羅智先","黃瑞典"
"26",="2395","研華","市","03/08","362.5","-3","-0.82","10","77.2","77.1","2,796","39.5","21.2","","","","","","","電腦及週邊設備業","劉克振","陳清熙、蔡淑妍、張家豪"
"27",="2408","南亞科","市","03/08","88.6","-1.1","-1.23","10","309","307","2,724","26","20.6","有","","有","","","","半導體業","吳嘉昭","李培瑛"
"28",="2327","國巨","市","03/08","547","-17","-3.01","10","49.7","49.4","2,700","33.5","27.4","有","","有","","","","電子零組件業","陳泰銘","王淡如"
"29",="2892","第一金","市","03/08","21.1","0","0","10","1,284","1,284","2,708","18.2","18.2","有","有","有","有","","","金控業","邱月琴","林謙浩"
"30",="5880","合庫金","市","03/08","20.1","-0.05","-0.25","10","1,333","1,333","2,680","9.3","9.3","有","有","有","","","","金控業","雷仲達","陳美足"
"31",="2885","元大金","市","03/08","21.15","-0.05","-0.24","10","1,214","1,214","2,567","19.1","19.1","有","有","有","有","","","金控業","申鼎籛","翁健"
"32",="1101","台泥","市","03/08","42.65","+0.15","+0.35","10","601","581","2,478","70.2","59.1","有","有","有","有","","有","水泥工業","張安平","李鐘培"
"33",="5871","中租-KY","市","03/08","170.5","+0.5","+0.29","10","153","138","2,355","11.2","9.2","有","","有","","","有","其他業","陳鳳龍","陳鳳龍"
"34",="2357","華碩","市","03/08","315.5","+4.5","+1.45","10","74.3","74.3","2,343","30.9","24.3","有","有","有","有","","","電腦及週邊設備業","施崇棠","許先越/胡書賓"
"35",="2880","華南金","市","03/08","18","-0.05","-0.28","10","1,285","1,285","2,314","19.2","19.2","有","有","","有","","","金控業","張雲鵬","羅寶珠"
"36",="2379","瑞昱","市","03/08","444","-14.5","-3.16","10","51.1","51.1","2,267","33.4","22.4","有","","有","","","","半導體業","葉南宏","邱順建"
"37",="6415","矽力-KY","市","03/08","2410","-110","-4.37","10","9.29","9.31","2,243","13.1","7.2","","","有","","","","半導體業","陳偉","游步東及Michael Grimm"
"38",="4904","遠傳","市","03/08","62.1","-0.5","-0.8","10","326","326","2,024","23.9","19.2","有","","","有","","","通信網路業","徐旭東","井琪"
"39",="2603","長榮","市","03/08","37.35","+0.05","+0.13","10","522","522","1,950","52.5","33.5","有","有","有","有","","","航運業","張衍義","謝惠全"
"40",="4938","和碩","市","03/08","73.2","-0.3","-0.41","10","266","266","1,949","13.7","10.7","有","","有","有","","","電腦及週邊設備業","童子賢","廖賜政"
"41",="8046","南電","市","03/08","279.5","-15.5","-5.25","10","64.6","64.6","1,806","23.4","14.9","有","","有","","","","電子零組件業","吳嘉昭","湯安得"
"42",="1590","亞德客-KY","市","03/08","950","+6","+0.64","10","18.9","18.9","1,796","11.5","10.2","有","","有","","","","電機機械","王世忠","王世忠"
"43",="2801","彰銀","市","03/08","17.1","0","0","10","1,038","1,038","1,776","70.7","59.1","有","有","有","","","","銀行業","凌忠嫄","黃瑞沐"
"44",="5876","上海商銀","市","03/08","39.6","+0.2","+0.51","10","448","448","1,775","66.5","2.4","","","有","有","","","銀行業","榮鴻慶","林志宏"
"45",="2409","友達","市","03/08","18.2","-0.3","-1.62","10","962","962","1,752","24.6","20.5","有","有","有","","","","光電業","彭又又浪","柯富仁"
